platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
PlayStation 4|Rune Lord|3|30/04/2020|N|N|N|N|N|N|N|N|A portal has opened, and dark magic is pouring through! Only you can close the gateway and defeat the evil Ice Golem. By creating matches of three or more runes, you'll collect the magic that will allow...|Victory Road|PlayStation 4
PlayStation 4|Even the Ocean|7|30/04/2020|N|N|N|N|N|N|Y|N|Even the Ocean is a narrative action platformer about balancing the Light and Dark energies that hold the world together.|Ratalaika Games S.L.|PlayStation 4
PlayStation 4|EMMA - Lost in Memories|3|30/04/2020|N|N|N|N|N|N|N|N|EMMA: Lost in Memories is a 2D puzzle platformer game in which all the platforms and walls start disappearing progressively as you touch them. Think, strategize, run, jump and feel in a surreal and poetic...|JANDUSOFT S.L.|PlayStation 4, PlayStation Vita
PlayStation 4|Couch Co-Op Bundle Vol.2|16|30/04/2020|N|N|Y|N|N|N|N|N|-|Digerati Distribution LLC|PlayStation 4
PlayStation 4|Concept Destruction|3|30/04/2020|N|N|N|N|N|N|N|N|Concept Destruction is all about driving miniature cars made of cardboard, and crashing them into each other to earn points by destroying them!|Ratalaika Games S.L.|PlayStation 4
PlayStation 4|Little Misfortune|16|30/04/2020|Y|N|Y|N|N|N|N|N|Led by her new friend, Mr. Voice, Misfortune ventures into the woods, where mysteries are unravelled and a little bad luck unfolds.|Killmonday Games AB|PlayStation 4
PlayStation 4|Active Neurons - Puzzle game|3|29/04/2020|N|N|N|N|N|N|N|N|Active Neurons is a puzzle game in which you have to charge brain neurons.|Evgeniy Kolpakov|PlayStation 4, PlayStation Vita
PlayStation 4|Cooking Mama: Cookstar|3|28/04/2020|N|N|N|N|N|N|N|N|Cooking Mama: Cookstar is a fun, family friendly cooking simulator game. In the game players prepare meals by playing mini games that represent the steps in cooking. Players use kitchen utencils (knives,...|Planet Entertainment|Nintendo Switch, PlayStation 4
PlayStation 4|Moving Out|3|28/04/2020|N|N|N|N|N|N|N|N|Become a certified removals master in this action, puzzle, physics based moving simulator that brings new meaning to "couch co-op". In Moving Out players can train alone or with friends to learn the doâs...|Team17 Digital Limited|Nintendo Switch, Xbox One, PlayStation 4
PlayStation 4|Dread Nautical|12|28/04/2020|Y|N|N|N|N|N|Y|N|Supernatural forces have overwhelmed the ship with mysterious malevolent monstrosities, and youâll need to seek out other survivors, track down food and other resources, and manage your safe haven for...|ZEN Studios Ltd|PlayStation 4
PlayStation 4|Firefighters - Airport Heroes|3|28/04/2020|N|N|N|N|N|N|N|N|âFirefighters - Airport Heroesâ is a simulation game of an airport fire department. As a team member of the airport fire department the playerâs character takes care of the vehicles, primarily fights...|United Independent Entertainment GmbH|PlayStation 4, Nintendo Switch
PlayStation 4|Quiplash 2 InterLASHional|12|24/04/2020|N|N|N|N|N|Y|N|N|This is a localized version of our previously released title, Quiplash 2, which is part of The Jackbox Party Pack 3. The game is entirely the same, but the prompts have all been localized for French, Italian,...|Jackbox Games Inc|PlayStation 4
PlayStation 4|Holy Potatoes! Compendium|7|24/04/2020|N|N|N|N|N|N|Y|N|A 3-pack of whacky time management games. What the hell?! We're in Space?! and A Weapon's Shop?!|Numskull Games|PlayStation 4, Nintendo Switch
PlayStation 4|TRIALS of MANA|12|24/04/2020|Y|N|N|N|N|N|Y|N|Trials of Mana is a full, high-definition remake of the third entry in the classic Mana series. The game tells the story of six heroes as they battle against forces of evil that threaten a world where...|Square Enix Ltd|Nintendo Switch, PlayStation 4, PC
PlayStation 4|Predator: Hunting Grounds|18|24/04/2020|Y|N|N|N|N|N|Y|Y|Predator Hunting Grounds is a 4 v 1 action multiplayer game where players can control either the Predator or one of four members of a mercenary group known as the Fireteam. The game takes place in a handful...|âSony Interactive Entertainment Europeâ|PlayStation 4, PC
PlayStation 4|Yumeutsutsu Re:After|16|24/04/2020|N|N|N|N|N|Y|N|N|The action picks up after Yumeutsutsu Re:Master. Find out what happens After each good endings, and learn more about the Banako, the dog Vice-President.|DEGICA Co.,Ltd.|PlayStation 4
PlayStation 4|Yumeutsutsu Re:Master|16|24/04/2020|Y|N|N|N|N|Y|N|N|Yumeutsutsu Re:Master is a girls-love adventure game set in a small game studio. The setting is a traditional old town called Koenji, not far from the imperial capital of Tokyo, where a small game studio...|DEGICA Co.,Ltd.|PlayStation 4
PlayStation 4|WARBORN|7|24/04/2020|N|N|N|N|N|N|Y|N|WARBORN is a turn-based tactical game where human pilots controll huge weaponised mechs called "Variable Armour". Players can experience more than 40 campaign missions against CPU opponents, learning about...|PQube Limited|PlayStation 4, Nintendo Switch
PlayStation 4|MotoGP20|3|23/04/2020|N|N|N|N|N|N|N|Y|MotoGPâ¢20 is a bike racing game based on the officialÂ&nbsp;MotoGPâ¢Â&nbsp;license. Set in the current time and depicted as a realistic representation of the real championship. The main aim of MotoGPâ¢20 is...|Milestone S.r.l.|PlayStation 4, Xbox One, Nintendo Switch, PC, Stadia
PlayStation 4|Arcade Archives TUBE PANIC|7|23/04/2020|N|N|N|N|N|N|Y|N|This game is a shooting game released by Nichibutsu. Pilot your spaceship through hordes of incoming enemies and make it to the mothership.|HAMSTER Corporation|PlayStation 4
PlayStation 4|Firefighters - Airport Heroes|3|28/04/2020|N|N|N|N|N|N|N|N|âFirefighters - Airport Heroesâ is a simulation game of an airport fire department. As a team member of the airport fire department the playerâs character takes care of the vehicles, primarily fights...|United Independent Entertainment GmbH|PlayStation 4, Nintendo Switch
PlayStation 4|Quiplash 2 InterLASHional|12|24/04/2020|N|N|N|N|N|Y|N|N|This is a localized version of our previously released title, Quiplash 2, which is part of The Jackbox Party Pack 3. The game is entirely the same, but the prompts have all been localized for French, Italian,...|Jackbox Games Inc|PlayStation 4
PlayStation 4|Holy Potatoes! Compendium|7|24/04/2020|N|N|N|N|N|N|Y|N|A 3-pack of whacky time management games. What the hell?! We're in Space?! and A Weapon's Shop?!|Numskull Games|PlayStation 4, Nintendo Switch
PlayStation 4|TRIALS of MANA|12|24/04/2020|Y|N|N|N|N|N|Y|N|Trials of Mana is a full, high-definition remake of the third entry in the classic Mana series. The game tells the story of six heroes as they battle against forces of evil that threaten a world where...|Square Enix Ltd|Nintendo Switch, PlayStation 4, PC
PlayStation 4|Predator: Hunting Grounds|18|24/04/2020|Y|N|N|N|N|N|Y|Y|Predator Hunting Grounds is a 4 v 1 action multiplayer game where players can control either the Predator or one of four members of a mercenary group known as the Fireteam. The game takes place in a handful...|âSony Interactive Entertainment Europeâ|PlayStation 4, PC
PlayStation 4|Yumeutsutsu Re:After|16|24/04/2020|N|N|N|N|N|Y|N|N|The action picks up after Yumeutsutsu Re:Master. Find out what happens After each good endings, and learn more about the Banako, the dog Vice-President.|DEGICA Co.,Ltd.|PlayStation 4
PlayStation 4|Yumeutsutsu Re:Master|16|24/04/2020|Y|N|N|N|N|Y|N|N|Yumeutsutsu Re:Master is a girls-love adventure game set in a small game studio. The setting is a traditional old town called Koenji, not far from the imperial capital of Tokyo, where a small game studio...|DEGICA Co.,Ltd.|PlayStation 4
PlayStation 4|WARBORN|7|24/04/2020|N|N|N|N|N|N|Y|N|WARBORN is a turn-based tactical game where human pilots controll huge weaponised mechs called "Variable Armour". Players can experience more than 40 campaign missions against CPU opponents, learning about...|PQube Limited|PlayStation 4, Nintendo Switch
PlayStation 4|MotoGP20|3|23/04/2020|N|N|N|N|N|N|N|Y|MotoGPâ¢20 is a bike racing game based on the officialÂ&nbsp;MotoGPâ¢Â&nbsp;license. Set in the current time and depicted as a realistic representation of the real championship. The main aim of MotoGPâ¢20 is...|Milestone S.r.l.|PlayStation 4, Xbox One, Nintendo Switch, PC, Stadia
PlayStation 4|Arcade Archives TUBE PANIC|7|23/04/2020|N|N|N|N|N|N|Y|N|This game is a shooting game released by Nichibutsu. Pilot your spaceship through hordes of incoming enemies and make it to the mothership.|HAMSTER Corporation|PlayStation 4
PlayStation 4|Hellpoint|12|16/04/2020|N|N|N|N|N|N|Y|N|Hellpoint is a dark sci fi action RPG set in the aftermath of a massive quantum cataclysm. Every living being quickly lost their mind as their memories and bodies were merged with alternate versions of...|tinyBuild GAMES|Nintendo Switch, PlayStation 4, Xbox One, PC
PlayStation 4|Book of Demons|7|14/04/2020|N|N|N|Y|N|N|Y|N|Book of Demons is a Hack &amp; Slash Deck-building hybrid in which you decide the length of quests. Wield magic cards instead of weapons and slay the armies of darkness in the dungeons below the Old Cathedral....|505 Games S.p.A|PlayStation 4
PlayStation 4|LA-MULANA 2|12|10/04/2020|Y|N|N|N|N|N|N|N|In LA-MULANA 2, players control Lumisa Kosugi, the daughter of the renowned archaeologist Lemeza Kosugi, who has gone missing. She goes to the ruins of La-Mulana, now called Eg-Lana, in search of her father...|NIS America, Inc|PlayStation 4
PlayStation 4|LA-MULANA 1|12|10/04/2020|Y|N|N|N|N|Y|Y|N|In LA-MULANA 1, players control Lemeza Kosugi, a renowned archaeologist who wants to seek out the hidden treasures of the ruins. Lemeza can run, jump, and attack with his whip to progress through the ruins....|NIS America, Inc|PlayStation 4
PlayStation 4|Five Nights at Freddy's: Sister Location|12|10/04/2020|N|N|N|N|N|N|N|N|The fifth game of the Five Nights at Freddy's series, Sister location takes you to a new restaurant, This time instead of being a security officer you are the night repair person. Work around the restaurant...|Clickteam USA, LLC|PlayStation 4
PlayStation 4|FINAL FANTASY VII REMAKE|16|10/04/2020|N|N|N|N|N|N|Y|N|The world has fallen under the control of the Shinra Electric Power Company, a shadowy corporation controlling the planet's life force. In the city of Midgar, an anti-Shinra organization calling themselves...|Square Enix Ltd|PlayStation 4
PlayStation 4|Taimumari: Complete Edition|7|10/04/2020|N|N|N|N|N|N|Y|N|Retro-style platform game in keeping with the best traditions of games of our childhood! Take control of the Himari, the young female wizard travelling across various ages to settle the balance in time...|Victory Road|PlayStation 4
PlayStation 4|DownThe Rabbit Hole|7|10/04/2020|N|N|N|N|N|N|Y|N|A classic Adventure-style VR game where you determine the fate of an unnamed girl that has accidentally wandered into an amazing world Down the rabbit Hole The game is full of puzzles and secrets that...|Perpetual - Europe|PlayStation 4
PlayStation 4|LA-MULANA 1 &amp; 2|12|10/04/2020|Y|N|N|N|N|Y|Y|N|This is a compilation title of LA-MULANA 1 and LA-MULANA 2. In LA-MULANA 1, players control Lemeza Kosugi, a renowned archaeologist who wants to seek out the hidden treasures of the ruins. In LA-MULANA...|NIS America, Inc|PlayStation 4, Nintendo Switch, Xbox One
PlayStation 4|Let's Create! Pottery VR|3|08/04/2020|N|N|N|N|N|N|N|N|Let's Create! Pottery VR is the best way to relieve your everyday stress and find your inner peace. It's an impressive, therapeutic, and uplifting experience you can enjoy in the comfort of your home. Go...|Infinite Dreams sp. z o.o.|PlayStation 4
PlayStation 4|Null Drifter|7|08/04/2020|N|N|N|Y|N|N|Y|N|Null Drifter is a 1BIT LO-FI shooter, a journey into the void inside a computer simulation! Lose yourself in this frenetic yet chill experience!|Eastasiasoft Limited|PlayStation 4
PlayStation 4|Coaster|3|08/04/2020|N|N|N|N|N|N|N|N|Coaster is a VR rollercoaster simulation with 4 levels which play with scale and environment to create a unique experience. Ideal for showing to first time VR users.|Binarie Digital Media|PlayStation 4
PlayStation 4|Final Assault|12|07/04/2020|N|N|N|N|N|N|Y|N|Final Assault is an action packed, WWII themed Action Strategy Game, blending elements from the traditional Real Time Strategy and MOBA genres to create a truly unique game-play experience in Virtual Reality.|Phaser Lock, Inc.|PlayStation 4
PlayStation 4|A room where art conceals|7|07/04/2020|N|N|N|Y|N|N|N|N|In the distant future, many masterpieces of art have disappeared in the turmoil, and people have lost their emotions in the indifference of survival. Well, you accidentally opened the door to a mysterious...|Beijing Xuhuanlu Co., Ltd.|PlayStation 4
PlayStation 4|Convoy: A Tactical Roguelike|12|07/04/2020|Y|N|N|N|N|N|N|N|Convoy is a tactical roguelike-like inspired by Mad Max and FTL in which you cross a wasteland in search of parts for your broken ship. Presented in pixel art and set in a future post-apocalyptic setting,...|Triangle Studios|PlayStation 4
PlayStation 4|Construction Simulator 3 - Console Edition|3|07/04/2020|N|N|N|N|N|N|N|N|Construction Simulator 3 returns to Europe! Discover an idyllic European town with officially licensed vehicles by famous brands: Caterpillar, Liebherr, CASE, Bobcat, Palfinger, STILL, MAN, ATLAS, Bell,...|Astragon Entertainment GmbH|PlayStation 4, Xbox One
